title,company,city,salary,source,collected_at
Ведущий инженер отдела VoIP-телефонии,Оператор связи Комфортел,Санкт-Петербург,,zarplata.ru,2026-05-09 16:48:10
Инженер-программист,ООО Инконтрол,Москва,,zarplata.ru,2026-05-09 16:48:10
Ведущий специалист по развитию автоматизированных систем расчета,Газпромбанк Мобайл (ООО НМК),Москва,,zarplata.ru,2026-05-09 16:48:10
"Senior Technical Solution Engineer (SQL, ETL, Java)",ООО ОнТаргет ЛАБС,Тбилиси,,zarplata.ru,2026-05-09 16:48:11
Data Scientist (CV Middle+/Senior),ООО СберМедИИ,"Москва, р-н Можайский",,zarplata.ru,2026-05-09 16:48:11
Ведущий инженер-оптик,ООО Троицкий инженерный центр,"Троицк, улица Академика Франка, 16",,zarplata.ru,2026-05-09 16:48:11
Руководитель направления по геомеханическому моделированию,ПАО «Газпром нефть»,"Санкт-Петербург, р-н Центральный",,zarplata.ru,2026-05-09 16:48:11
Инженер по внедрению и сопровождению ПО,Клируэй Текнолоджис,Москва,,zarplata.ru,2026-05-09 16:48:11
Программист 1С (департамент программного обеспечения),"Красное & Белое, розничная сеть",Тюмень,,zarplata.ru,2026-05-09 16:48:11
Системный инженер,ООО Телекоммуникационная компания ОкеанТелеком,Владивосток,,zarplata.ru,2026-05-09 16:48:11
QA Engineer Middle (Manual)/ Инженер по тестированию,Санаториум,Ростов-на-Дону,,zarplata.ru,2026-05-09 16:48:11
Разработчик ELMA365 Junior,ООО БОАС,Москва,,zarplata.ru,2026-05-09 16:48:11
Сетевой инженер,jobcart.ru,Санкт-Петербург,,zarplata.ru,2026-05-09 16:48:11
Системный администратор Linux/SRE,ООО Опендэв,Москва,,zarplata.ru,2026-05-09 16:48:11
Аналитик БД,ГБУ МО Московский областной медицинский информационно-аналитический центр,Красногорск,,zarplata.ru,2026-05-09 16:48:18
Преподаватель русского языка ОГЭ,Школа математики и программирования Матрица,Москва,,zarplata.ru,2026-05-09 16:48:18
Преподаватель информатики ЕГЭ,Школа математики и программирования Матрица,Москва,,zarplata.ru,2026-05-09 16:48:18
Помощник системного администратора,ООО Тексет-Импекс,"Санкт-Петербург, р-н Кировский",,zarplata.ru,2026-05-09 16:48:18
Инцидент-менеджер / Менеджер по сопровождению,EcoFinance,Москва,,zarplata.ru,2026-05-09 16:48:18
Главный ИИ программист GetRentacar (Lead Claude Code Developer),ООО Кей Групп,Москва,,zarplata.ru,2026-05-09 16:48:18
Системный администратор по направлению ИБ,Online Reservation System,"Москва, р-н Коптево",,zarplata.ru,2026-05-09 16:48:18
Стажёр аналитик Spark Hadoop BigData,Datanomica,Москва,,zarplata.ru,2026-05-09 16:48:18
Заместитель руководителя направления / Senior Release Manager,Клируэй Текнолоджис,Москва,,zarplata.ru,2026-05-09 16:48:18
Senior Разработчик C++,АО Система Безопасных Коммуникаций,Москва,,zarplata.ru,2026-05-09 16:48:19
Разработчик C++ (Senior),Rubius,Москва,,zarplata.ru,2026-05-09 16:48:19
Сетевой инженер / Сетевой администратор,ООО Абарус,Новосибирск,,zarplata.ru,2026-05-09 16:48:19
DevOps Engineer (Middle+/Senior),Secreate,Москва,,zarplata.ru,2026-05-09 16:48:19
Chief Technology Officer / Технический директор (CTO),ООО Интернет РЕВОЛЮЦИЯ,Москва,,zarplata.ru,2026-05-09 16:48:19
SRE / Site Reliability Engineer в iGaming,JT marketing,Тбилиси,,zarplata.ru,2026-05-09 16:48:19
DevOps-инженер,Xello,Москва,,zarplata.ru,2026-05-09 16:48:19
Дата-инженер,ООО БиАйЭй-Технолоджиз,Москва,,zarplata.ru,2026-05-09 16:48:19
QA-инженер/Embedded-тестировщик,АО Телум,Москва,,zarplata.ru,2026-05-09 16:48:20
Data Engineer (Маркетинг),ООО ТЕХНОЛОГИИ ОТРАСЛЕВОЙ ТРАНСФОРМАЦИИ,Москва,,zarplata.ru,2026-05-09 16:48:20
DevOps-инженер в подразделение информационной безопасности,ПАО «Газпром нефть» ИТ,Екатеринбург,,zarplata.ru,2026-05-09 16:48:20
Системный администратор / DevOps-инженер,ООО ВЕЛЕС РИСЕРЧ,Москва,,zarplata.ru,2026-05-09 16:48:20
Data TechLead / Инженер данных (Ритейл),ООО ТЕХНОЛОГИИ ОТРАСЛЕВОЙ ТРАНСФОРМАЦИИ,Москва,,zarplata.ru,2026-05-09 16:48:20
Преподаватель информатики,ИП Михалёв Игорь Олегович,"Иркутск, р-н Октябрьский",,zarplata.ru,2026-05-09 16:48:20
Ведущий инженер технической поддержки (инженер СХД / Linux),AERODISK,Москва,,zarplata.ru,2026-05-09 16:48:20
"Руководитель отдела внедрения, программист разработчик",ООО ПК Парадигма,"Ижевск, р-н Ленинский",,zarplata.ru,2026-05-09 16:48:21
System Administrator Linux / Системный Администратор Линукс,ООО НТ Прогресс,Москва,,zarplata.ru,2026-05-09 16:48:21
Продуктовый аналитик (middle+),ООО Farpost IT,Новосибирск,,zarplata.ru,2026-05-09 16:48:21
Менеджер по прогнозированию спроса в канале современной торговли,Пивоваренная компания Балтика Офис,Санкт-Петербург,,zarplata.ru,2026-05-09 16:48:21
Middle Fullstack Developer в проект Atomic Bot,Бойлер лабс,"Санкт-Петербург, р-н Центральный",,zarplata.ru,2026-05-09 16:48:21
Senior Data Engineer / Инженер данных,ООО Леон,Санкт-Петербург,,zarplata.ru,2026-05-09 16:48:21
Инженер-наладчик роботизированных систем внутрискладской логистики (AMR/AGV),ООО СКАМАТИК,Москва,,zarplata.ru,2026-05-09 16:48:21
Head of Risk,ООО Ок Софт,Москва,,zarplata.ru,2026-05-09 16:48:21
Разработчик BI/SQL,ООО ПРОМОМЕД,Москва,,zarplata.ru,2026-05-09 16:48:22
Тестировщик IT-продуктов Junior,ООО БОАС,Москва,,zarplata.ru,2026-05-09 16:48:22
Системный инженер PostgreSQL,ПАО «Газпром нефть» ИТ,Санкт-Петербург,,zarplata.ru,2026-05-09 16:48:22
Преподаватель-программист,ИП Корнева Юлия Борисовна,"Евпатория, проспект Ленина, 29Г",,zarplata.ru,2026-05-09 16:48:22
Инженер-программист (микроконтроллеры STM32),АО Конструкторское бюро беспилотных систем,Москва,,zarplata.ru,2026-05-09 16:48:22
Сетевой инженер в команду разработки,InfiNet Wireless,Екатеринбург,,zarplata.ru,2026-05-09 16:48:22
Аналитик отдела продаж / Data Analyst / Data Scientist,"АО Обновление, ПФК","Новосибирск, р-н Ленинский",,zarplata.ru,2026-05-09 16:48:22
BIM координатор/BIM-менеджер,Архитектурное бюро А.Лен,Санкт-Петербург,,zarplata.ru,2026-05-09 16:48:23
Программист,ГУ МВД России по Красноярскому краю,"Красноярск, р-н Центральный",,zarplata.ru,2026-05-09 16:48:23
Эксперт по математическому моделированию термо-деформационных процессов,Группа НЛМК Эксперты и руководители,Москва,,zarplata.ru,2026-05-09 16:48:29
Аналитик рынка вторичной продукции (в департамент маркетинга),АО ЧЭМК,"Москва, р-н Басманный",,zarplata.ru,2026-05-09 16:48:29
Ведущий специалист по интерпретации ГИС при бурении (Петрофизик),ООО РН- Геология Исследования Разработка,Москва,,zarplata.ru,2026-05-09 16:48:29
"Старший инженер инфраструктуры и DevOps (GCP, Kubernetes)",Amagasa,Москва,,zarplata.ru,2026-05-09 16:48:29
Senior Full Stack Developer (Engineering / Energy Software),ООО АСМЭИ,Сочи,,zarplata.ru,2026-05-09 16:48:29
BI-аналитик / Data Engineer (Full-Stack),АО Телега,Казань,,zarplata.ru,2026-05-09 16:48:30
Разработчик ML [Junior],ООО Диплей,Омск,,zarplata.ru,2026-05-09 16:48:30
Продавец элитных женских сумок Eleganzza,Big Ben,"Южно-Сахалинск, 2-я Центральная улица, 1Б",,zarplata.ru,2026-05-09 16:48:30
BIM-менеджер (BIM Manager),ООО Лемьер,Москва,,zarplata.ru,2026-05-09 16:48:30
Битрикс24-интегратор,ИП Ксенофонтов Артем Зотович,Санкт-Петербург,,zarplata.ru,2026-05-09 16:48:30
Lead Data Engineer / Ведущий инженер данных,ООО Блейз Аналитикс,Москва,,zarplata.ru,2026-05-09 16:48:30
Market Risk Control,ООО ТАУ Сервис,Москва,,zarplata.ru,2026-05-09 16:48:30
Senior Linux Administrator / Infrastructure Administrator,Gaijin Games,Сербия,,zarplata.ru,2026-05-09 16:48:31
Reverse - инженер [Senior],ООО Диплей,Омск,,zarplata.ru,2026-05-09 16:48:31
Data Engineer,ООО МКК Луна,Королев (Московская область),,zarplata.ru,2026-05-09 16:48:31
Frontend-разработчик,ATI.SU,Санкт-Петербург,,zarplata.ru,2026-05-09 16:48:31
Продуктовый аналитик (GameDev),ООО ВАЙБ ГЕЙМС,Москва,,zarplata.ru,2026-05-09 16:48:31
Финансовый аналитик (казначейство),AIRECRUITMENT,Москва,,zarplata.ru,2026-05-09 16:48:32
Преподаватель робототехники,МБОУ СОШ №95,"Екатеринбург, р-н Орджоникидзевский",,zarplata.ru,2026-05-09 16:48:32
Junior ML Engineer,ИП Перехода Алексей Алексеевич,"Ставрополь, р-н Ленинский",,zarplata.ru,2026-05-09 16:48:32
Старший сетевой инженер / руководитель отдела,ООО АйПильсин,"Красногорск, микрорайон Тёплый Бетон, Оптический переулок, 1А",,zarplata.ru,2026-05-09 16:48:33
"Преподаватель по программированию и робототехнике в Инжинириум МГТУ им. Н.Э. Баумана, г. Иваново",Инжинириум Иваново,"Иваново, р-н Фрунзенский",,zarplata.ru,2026-05-09 16:48:33
Presale Engineer/Solution Engineer,ТестОпс,"Санкт-Петербург, р-н Калининский",,zarplata.ru,2026-05-09 16:48:33
Atlassian Engineer,Opiniq Ltd,Москва,,zarplata.ru,2026-05-09 16:48:34
SRE-инженер (финтех),ООО Ньютон Технологии,Москва,,zarplata.ru,2026-05-09 16:48:34
Специалист по языковым моделям,ПАО «Газпром нефть»,Санкт-Петербург,,zarplata.ru,2026-05-09 16:48:34
AI Builder,ИП Даутова Дина Саитовна,Екатеринбург,,zarplata.ru,2026-05-09 16:48:34
Учитель математики и информатики,МБОУ СОШ №95,"Екатеринбург, р-н Орджоникидзевский",,zarplata.ru,2026-05-09 16:48:34
Специалист по прогнозированию,"Лента, федеральная розничная сеть, Работа в офисе",Москва,,zarplata.ru,2026-05-09 16:48:35
Инженер по тестированию Middle QA Engineer,ООО Лартех Телеком,Санкт-Петербург,,zarplata.ru,2026-05-09 16:48:35
Сетевой инженер (Ростов-на-Дону),ООО Югтелеком,"Ростов-на-Дону, р-н Первомайский",,zarplata.ru,2026-05-09 16:48:35
Пентестер/Специалист по анализу защищенности,ООО М13,Москва,,zarplata.ru,2026-05-09 16:48:35
Tech Lead/Руководитель направления разработки,Xello,Москва,,zarplata.ru,2026-05-09 16:48:35
Инженер-схемотехник,Не указана,Москва,,zarplata.ru,2026-05-09 16:48:35
ML Engineer/ Machine Learning Engineer/ ML Инженер,"Reputation House Marketing Management, LLC",Москва,,zarplata.ru,2026-05-09 16:48:36
Учитель информатики,МАОУ-СОШ № 25 им. В.Г. Феофанова,"Екатеринбург, р-н Академический",,zarplata.ru,2026-05-09 16:48:36
Backend-разработчик (Middle),ООО РЦ ПЛИНОР,Санкт-Петербург,,zarplata.ru,2026-05-09 16:48:36
AI Implementation Engineer,Opiniq Ltd,Москва,,zarplata.ru,2026-05-09 16:48:36
Веб-разработчик,ПАО Т Плюс,"Екатеринбург, р-н Кировский",,zarplata.ru,2026-05-09 16:48:36
Product Analyst in GameDev,Overmobile,"Новосибирск, р-н Советский",,zarplata.ru,2026-05-09 16:48:36
Data Analyst (Аналитика жилой и коммерческой недвижимости),ООО ТЕХНОЛОГИИ ОТРАСЛЕВОЙ ТРАНСФОРМАЦИИ,Москва,,zarplata.ru,2026-05-09 16:48:37
Системный администратор Linux,ООО Мальт Систем,Москва,,zarplata.ru,2026-05-09 16:48:37
Программист - стажер,ПАО «Газпром нефть» Стажировки,"Санкт-Петербург, р-н Адмиралтейский",,zarplata.ru,2026-05-09 16:48:37
Разработчик Embedded Linux (Смарт-ТВ),ООО НТЦ Ротек,Москва,,zarplata.ru,2026-05-09 16:48:37
Fullstack разработчик,СушиLandia,Екатеринбург,,zarplata.ru,2026-05-09 16:48:37
Инженер по инфраструктуре,АО Телега,Казань,,zarplata.ru,2026-05-09 16:48:44
Пресейл-менеджер \ Пресейл-инженер,АО Система Безопасных Коммуникаций,Москва,,zarplata.ru,2026-05-09 16:48:44
Разработчик DWH,ООО ИТС,"Москва, р-н Даниловский",,zarplata.ru,2026-05-09 16:48:44
HR-аналитик,Не указана,Москва,,zarplata.ru,2026-05-09 16:48:44
Мидл программист С++/ middle С++,ООО Абарус,Новосибирск,,zarplata.ru,2026-05-09 16:48:45
Инженер РЛС,Myrtle,Санкт-Петербург,,zarplata.ru,2026-05-09 16:48:45
Инженер (DevOps),NGRSOFTLAB,Москва,,zarplata.ru,2026-05-09 16:48:45
Разработчик С++,АО НПО Мобильные Информационные Системы,Москва,,zarplata.ru,2026-05-09 16:48:45
